Date,Close,Stock
2020-01-02,75.087502,AAPL
2020-01-03,74.35749799999999,AAPL
2020-01-06,74.949997,AAPL
2020-01-07,74.597504,AAPL
2020-01-08,75.797501,AAPL
2020-01-09,77.407501,AAPL
2020-01-10,77.582497,AAPL
2020-01-13,79.239998,AAPL
2020-01-14,78.16999799999999,AAPL
2020-01-15,77.834999,AAPL
2020-01-16,78.809998,AAPL
2020-01-17,79.682503,AAPL
2020-01-21,79.14250200000001,AAPL
2020-01-22,79.425003,AAPL
2020-01-23,79.807503,AAPL
2020-01-24,79.577499,AAPL
2020-01-27,77.237503,AAPL
2020-01-28,79.422501,AAPL
2020-01-29,81.084999,AAPL
2020-01-30,80.967499,AAPL
2020-01-31,77.377502,AAPL
2020-02-03,77.165001,AAPL
2020-02-04,79.712502,AAPL
2020-02-05,80.362503,AAPL
2020-02-06,81.302498,AAPL
2020-02-07,80.0075,AAPL
2020-02-10,80.387497,AAPL
2020-02-11,79.902496,AAPL
2020-02-12,81.800003,AAPL
2020-02-13,81.217499,AAPL
2020-02-14,81.237503,AAPL
2020-02-18,79.75,AAPL
2020-02-19,80.904999,AAPL
2020-02-20,80.074997,AAPL
2020-02-21,78.262497,AAPL
2020-02-24,74.54499799999999,AAPL
2020-02-25,72.019997,AAPL
2020-02-26,73.162498,AAPL
2020-02-27,68.379997,AAPL
2020-02-28,68.339996,AAPL
2020-03-02,74.702499,AAPL
2020-03-03,72.33000200000001,AAPL
2020-03-04,75.684998,AAPL
2020-03-05,73.230003,AAPL
2020-03-06,72.2575,AAPL
2020-03-09,66.542503,AAPL
2020-03-10,71.334999,AAPL
2020-03-11,68.85749799999999,AAPL
2020-03-12,62.057499,AAPL
2020-03-13,69.4925,AAPL
2020-03-16,60.552502,AAPL
2020-03-17,63.215,AAPL
2020-03-18,61.6675,AAPL
2020-03-19,61.195,AAPL
2020-03-20,57.310001,AAPL
2020-03-23,56.092499,AAPL
2020-03-24,61.720001,AAPL
2020-03-25,61.380001,AAPL
2020-03-26,64.610001,AAPL
2020-03-27,61.935001,AAPL
2020-03-30,63.702499,AAPL
2020-03-31,63.572498,AAPL
2020-04-01,60.227501,AAPL
2020-04-02,61.232498,AAPL
2020-04-03,60.352501,AAPL
2020-04-06,65.6175,AAPL
2020-04-07,64.85749799999999,AAPL
2020-04-08,66.51750200000001,AAPL
2020-04-09,66.997498,AAPL
2020-04-13,68.3125,AAPL
2020-04-14,71.762497,AAPL
2020-04-15,71.10749799999999,AAPL
2020-04-16,71.672501,AAPL
2020-04-17,70.699997,AAPL
2020-04-20,69.23249799999999,AAPL
2020-04-21,67.092499,AAPL
2020-04-22,69.025002,AAPL
2020-04-23,68.7575,AAPL
2020-04-24,70.7425,AAPL
2020-04-27,70.792503,AAPL
2020-04-28,69.644997,AAPL
2020-04-29,71.932503,AAPL
2020-04-30,73.449997,AAPL
2020-05-01,72.26750200000001,AAPL
2020-05-04,73.290001,AAPL
2020-05-05,74.389999,AAPL
