Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,139.78999299999998,141.100006,139.259995,141.08999599999999,134.380966,10803700
2020-01-03,137.5,139.229996,137.080002,138.33999599999999,132.60759,10386800
2020-01-06,136.559998,138.270004,136.5,138.229996,132.502167,10259000
2020-01-07,137.279999,137.860001,135.820007,135.880005,130.249542,10531300
2020-01-08,135.699997,137.580002,135.600006,136.940002,131.26561,9695300
2020-01-09,138.050003,138.229996,137.03999299999998,137.440002,131.744904,9469000
2020-01-10,137.21000700000002,137.25,135.809998,136.070007,130.431686,10190900
2020-01-13,136.190002,137.199997,135.759995,137.199997,131.514832,12355200
2020-01-14,137.940002,140.759995,137.690002,138.800003,133.048569,24906000
2020-01-15,137.850006,138.600006,136.149994,136.720001,131.054733,16293400
2020-01-16,137.449997,137.899994,136.83999599999999,137.25,131.562775,10783800
2020-01-17,137.53999299999998,138.28999299999998,137.320007,138.199997,132.47340400000002,14697700
2020-01-21,137.190002,138.070007,136.690002,136.83999599999999,131.169754,8474200
2020-01-22,137.240005,137.399994,136.380005,136.679993,131.016373,7549100
2020-01-23,135.71000700000002,136.740005,134.720001,136.53999299999998,130.88218700000002,9345700
2020-01-24,136.369995,136.429993,132.320007,133.149994,127.632668,15166400
2020-01-27,130.270004,132.940002,129.71000700000002,132.029999,126.559074,12860500
2020-01-28,132.83999599999999,134.970001,132.479996,134.429993,128.85961899999998,13062800
2020-01-29,134.809998,135.53999299999998,133.690002,134.229996,128.667908,9326000
2020-01-30,132.690002,136.130005,132.690002,135.889999,130.259125,9048900
2020-01-31,134.490005,134.830002,131.470001,132.360001,126.87539699999999,12785200
2020-02-03,132.66000400000001,134.240005,132.66000400000001,133.369995,127.84353600000001,10021100
2020-02-04,135.550003,136.600006,135.080002,135.28999299999998,129.683975,9157100
2020-02-05,136.570007,137.729996,136.009995,137.58999599999999,131.888687,10150700
2020-02-06,138.240005,138.28999299999998,137.110001,137.610001,131.907837,8992300
2020-02-07,136.729996,137.669998,136.300003,137.169998,131.486069,6379800
2020-02-10,136.949997,137.850006,136.75,137.740005,132.032455,5960700
2020-02-11,138.259995,138.820007,137.779999,138.0,132.281693,6578600
2020-02-12,138.600006,139.28999299999998,137.800003,138.0,132.281693,7958000
2020-02-13,137.75,138.33999599999999,136.399994,137.880005,132.16665600000002,7447500
2020-02-14,137.83999599999999,138.190002,136.940002,137.46000700000002,131.764084,6627600
2020-02-18,137.33999599999999,137.71000700000002,135.050003,135.639999,130.01946999999998,8996400
2020-02-19,136.91000400000001,138.389999,136.33999599999999,137.490005,131.792831,7071200
2020-02-20,137.169998,138.360001,136.529999,137.490005,131.792831,7422800
2020-02-21,136.550003,136.919998,134.919998,135.809998,130.182449,9772800
2020-02-24,131.440002,133.199997,130.800003,132.16000400000001,126.68369299999999,13618400
2020-02-25,131.0,132.229996,125.589996,126.260002,121.028168,20797200
2020-02-26,126.93,128.949997,126.339996,126.639999,121.39241799999999,24825600
2020-02-27,122.910004,125.620003,121.300003,121.370003,116.340797,23005500
2020-02-28,117.519997,118.489998,112.660004,116.110001,111.298744,45942600
2020-03-02,116.629997,121.58000200000001,114.459999,121.519997,116.48456599999999,27355400
2020-03-03,120.970001,122.949997,116.239998,116.959999,112.113525,32547700
2020-03-04,118.33000200000001,120.190002,114.699997,119.849998,114.883781,25795900
2020-03-05,115.66999799999999,116.43,112.58000200000001,113.970001,109.247429,25025600
2020-03-06,106.260002,110.32,105.019997,108.08000200000001,103.601486,38159400
2020-03-09,96.57,99.230003,93.0,93.440002,89.568123,40352000
2020-03-10,99.0,101.279999,94.58000200000001,100.699997,96.527283,31102700
2020-03-11,97.699997,100.050003,94.550003,95.959999,91.983704,38127000
2020-03-12,89.589996,96.959999,86.32,88.050003,84.401474,49725200
2020-03-13,95.989998,103.989998,92.0,103.910004,99.604279,38543300
2020-03-16,85.199997,93.980003,84.550003,88.360001,84.698624,38589700
2020-03-17,90.889999,97.440002,87.5,93.760002,89.87487,35239800
2020-03-18,87.66999799999999,90.790001,80.360001,83.889999,80.413857,41525600
2020-03-19,81.559998,88.110001,76.910004,85.300003,81.765419,32175100
2020-03-20,86.300003,89.459999,82.480003,83.5,80.040009,30150800
2020-03-23,82.68,83.75,78.089996,79.029999,75.75522600000001,32536600
2020-03-24,84.900002,90.099998,82.900002,88.43,84.765724,34363200
2020-03-25,89.239998,95.150002,84.540001,91.730003,87.928986,38111700
2020-03-26,94.08000200000001,98.57,93.540001,98.120003,94.054199,29826300
2020-03-27,93.190002,94.839996,90.550003,91.129997,87.353844,30041500
2020-03-30,90.650002,94.089996,89.300003,93.5,89.625633,21656900
2020-03-31,92.050003,94.16999799999999,89.339996,90.029999,86.29941600000001,23379300
2020-04-01,85.099998,86.559998,83.25,84.360001,80.86438000000001,28029600
2020-04-02,83.510002,87.910004,82.959999,87.510002,83.88385,24018000
2020-04-03,86.0,87.480003,82.769997,84.050003,81.404427,21199400
2020-04-06,88.989998,90.989998,87.699997,89.459999,86.64415,26820800
2020-04-07,94.449997,94.5,90.379997,90.639999,87.787003,22563800
2020-04-08,92.099998,94.860001,90.550003,94.300003,91.331795,22903300
2020-04-09,96.91999799999999,104.389999,96.889999,102.760002,99.525513,42084700
2020-04-13,103.110001,103.110001,97.300003,98.190002,95.099358,26911900
2020-04-14,101.019997,102.0,93.639999,95.5,92.494026,46151300
2020-04-15,91.150002,92.029999,90.129997,90.790001,87.932281,30118600
2020-04-16,90.230003,90.57,87.050003,87.33000200000001,84.581192,32449600
2020-04-17,92.0,95.699997,90.959999,95.18,92.184097,30191900
2020-04-20,92.470001,94.709999,90.459999,91.709999,88.823326,23679400
2020-04-21,88.620003,91.379997,88.33000200000001,89.050003,86.247055,23035000
2020-04-22,90.690002,91.870003,89.18,89.339996,86.527916,16706000
2020-04-23,89.739998,91.279999,89.260002,89.389999,86.57634,16638800
2020-04-24,90.639999,91.099998,88.489998,90.709999,87.85479000000001,15815300
2020-04-27,91.940002,95.629997,91.540001,94.620003,91.64173100000001,22870200
2020-04-28,97.809998,98.360001,95.029999,95.290001,92.290634,20238900
2020-04-29,99.08000200000001,99.449997,97.269997,97.860001,94.779739,20462600
2020-04-30,95.599998,96.839996,94.550003,95.760002,92.74584200000001,19127600
2020-05-01,93.5,93.739998,91.839996,93.25,90.31485,18547700
2020-05-04,92.019997,92.66999799999999,90.800003,92.139999,89.239784,15725900
2020-05-05,93.650002,94.209999,91.900002,92.0,89.10419499999999,18064100
2020-05-06,92.160004,92.760002,89.93,90.269997,87.428635,20978000
2020-05-07,91.339996,92.910004,90.58000200000001,91.209999,88.339058,16771900
2020-05-08,92.800003,94.08000200000001,92.110001,92.699997,89.782158,20494900
2020-05-11,91.110001,91.110001,89.33000200000001,89.970001,87.138092,31907600
2020-05-12,90.150002,90.790001,86.900002,87.029999,84.290627,27962900
2020-05-13,86.379997,86.860001,83.400002,84.029999,81.385048,35451600
2020-05-14,82.720001,88.110001,82.400002,87.519997,84.765213,35152500
2020-05-15,86.849998,87.279999,85.300003,85.900002,83.196198,26099000
2020-05-18,88.690002,91.150002,87.879997,90.449997,87.602982,30528700
2020-05-19,90.050003,91.199997,88.589996,88.66999799999999,85.879013,19597300
2020-05-20,90.709999,92.389999,90.370003,91.33000200000001,88.45528399999999,20552400
